ob,variable,phase,event_type,n_events,real_phase_median_z,null_phase_median_z,event_minus_null_z,p_null_abs_excess_ge_real_abs_excess,event_type_gate
16,all_tangential,near_pre,low_to_high,43,-0.1910150717527844,0.029986743197562598,-0.221001814950347,0.025,True
16,all_tangential,near_pre,high_to_low,41,0.1658787589304226,0.0063071467215681624,0.15957161220885444,0.3,False
16,all_tangential,near_post,low_to_high,43,0.11483016924367744,0.01768653036794926,0.09714363887572817,0.575,False
16,all_tangential,near_post,high_to_low,41,-0.25279491786045793,-0.007527710085013781,-0.24526720777544414,0.05,True
16,shell_edge_minus_core,near_pre,low_to_high,43,0.24983400621118823,-0.0057511193920546915,0.2555851256032429,0.125,True
16,shell_edge_minus_core,near_pre,high_to_low,41,0.07662521648796738,-0.01645353340313043,0.09307874989109782,0.45,False
16,shell_edge_minus_core,near_post,low_to_high,43,0.12425704681464445,-0.011292084576786189,0.13554913139143063,0.15,True
16,shell_edge_minus_core,near_post,high_to_low,41,-0.13918096781693606,-0.018906174241333437,-0.12027479357560263,0.325,False
16,shell_core_tangential,near_pre,low_to_high,43,-0.19867494811607178,0.04202942018952596,-0.24070436830559774,0.05,True
16,shell_core_tangential,near_pre,high_to_low,41,-0.0257900246671007,0.009420528992459973,-0.035210553659560676,0.825,False
16,shell_core_tangential,near_post,low_to_high,43,0.034321385656550484,0.02613259525303819,0.008188790403512294,0.95,False
16,shell_core_tangential,near_post,high_to_low,41,0.005465821680228029,0.0581120092311251,-0.05264618755089707,0.65,False
16,shell_middle_tangential,near_pre,low_to_high,43,-0.1562709565279563,-0.03407096622478203,-0.12219999030317427,0.375,False
16,shell_middle_tangential,near_pre,high_to_low,41,0.1867948574291713,-0.027376911951423666,0.21417176938059496,0.1,True
16,shell_middle_tangential,near_post,low_to_high,43,0.1996355876038836,0.0270237727399866,0.172611814863897,0.175,True
16,shell_middle_tangential,near_post,high_to_low,41,-0.07654215503895415,-0.0218606623576868,-0.054681492681267346,0.575,False
16,shell_edge_tangential,near_pre,low_to_high,43,-0.1851104882735638,0.05611472289299174,-0.24122521116655554,0.025,True
16,shell_edge_tangential,near_pre,high_to_low,41,0.2689286065795081,0.03991959251283014,0.22900901406667798,0.15,True
16,shell_edge_tangential,near_post,low_to_high,43,0.22177442083134513,0.06899080750394714,0.15278361332739798,0.225,True
16,shell_edge_tangential,near_post,high_to_low,41,-0.2606986527100774,-0.004548077758162895,-0.2561505749519145,0.025,True
