replicate,n_both,n_any,n_obs_tested,n_obs_with_valid_b3,n_obs_with_valid_k8,n_obs_with_valid_k10
651,7,11,19,19,19,19
652,7,12,19,19,19,19
653,4,10,19,19,19,19
654,2,7,19,19,19,19
655,4,10,19,19,19,19
656,4,7,19,19,19,19
657,4,11,19,19,19,19
658,5,7,19,19,19,19
659,6,12,19,19,19,19
660,3,6,19,19,19,19
661,5,14,19,19,19,19
662,6,12,19,19,19,19
663,2,9,19,19,19,19
664,8,12,19,19,19,19
665,6,13,19,19,19,19
666,5,9,19,19,19,19
667,10,15,19,19,19,19
668,4,6,19,19,19,19
669,5,7,19,19,19,19
670,3,10,19,19,19,19
671,4,10,19,19,19,19
672,7,10,19,19,19,19
673,5,12,19,19,19,19
674,5,8,19,19,19,19
675,3,8,19,19,19,19
676,4,10,19,19,19,19
677,4,8,19,19,19,19
678,6,9,19,19,19,19
679,3,11,19,19,19,19
680,5,13,19,19,19,19
681,3,8,19,19,19,19
682,3,13,19,19,19,19
683,7,11,19,19,19,19
684,6,11,19,19,19,19
685,3,9,19,19,19,19
686,5,9,19,19,19,19
687,3,6,19,19,19,19
688,5,9,19,19,19,19
689,3,11,19,19,19,19
690,4,11,19,19,19,19
691,2,6,19,19,19,19
692,6,9,19,19,19,19
693,4,12,19,19,19,19
694,5,12,19,19,19,19
695,5,10,19,19,19,19
696,3,8,19,19,19,19
697,3,11,19,19,19,19
698,6,9,19,19,19,19
699,6,11,19,19,19,19
700,4,11,19,19,19,19
