ob,variable,n_events,phase,real_phase_aligned_z,null_phase_median_aligned_z,null_phase_abs_median_z,event_minus_null_phase_z,abs_event_minus_abs_null_z,p_null_abs_ge_real_abs,phase_gate
2,shell_edge_minus_core,43,early_pre,-0.038253285124065894,0.03899332418855084,0.07041952098602194,-0.07724660931261673,-0.03216623586195605,0.7,False
2,shell_edge_minus_core,43,near_pre,-0.035827339937787084,-0.015287645086412255,0.05796610049770394,-0.02053969485137483,-0.022138760559916856,0.775,False
2,shell_edge_minus_core,43,near_post,0.18446823150916483,-0.0077287051938196155,0.05603282244361965,0.19219693670298443,0.12843540906554518,0.0,True
2,shell_edge_minus_core,43,late_post,0.020871764153852473,0.0012978664929400585,0.04332512852503816,0.019573897660912415,-0.02245336437118569,0.75,False
2,all_tangential,43,early_pre,-0.03518797039513269,0.00547074814745928,0.08089728035183122,-0.04065871854259197,-0.04570930995669853,0.725,False
2,all_tangential,43,near_pre,-0.2103284355185931,-0.0128747625813736,0.09295829662223845,-0.1974536729372195,0.11737013889635464,0.05,False
2,all_tangential,43,near_post,0.006910537702184777,-0.018698449217032974,0.055267992376175176,0.02560898691921775,-0.0483574546739904,0.95,False
2,all_tangential,43,late_post,0.15675110142806847,-0.001886045850060183,0.06278417112069735,0.15863714727812867,0.09396693030737112,0.025,False
2,shell_core_tangential,43,early_pre,0.09710626357867347,-0.002751663340319288,0.07530122978398174,0.09985792691899276,0.02180503379469173,0.35,False
2,shell_core_tangential,43,near_pre,-0.0480688105923923,0.007079661925121328,0.04504432224103011,-0.055148472517513626,0.003024488351362188,0.475,False
2,shell_core_tangential,43,near_post,-0.1336996679060772,-0.0020978166507246016,0.05656044749037249,-0.13160185125535262,0.07713922041570472,0.075,False
2,shell_core_tangential,43,late_post,0.026888956571241,0.014020628116432005,0.05360969926172918,0.012868328454808996,-0.026720742690488176,0.75,False
2,shell_middle_tangential,43,early_pre,0.1228858705938667,0.01862643715117114,0.05358014088580461,0.10425943344269556,0.06930572970806209,0.225,False
2,shell_middle_tangential,43,near_pre,-0.0686566873023853,-0.025881976440424698,0.08036649852615771,-0.04277471086196061,-0.011709811223772404,0.65,False
2,shell_middle_tangential,43,near_post,0.048672402862512426,0.008115503100815753,0.06329130501588123,0.04055689976169667,-0.014618902153368807,0.625,False
2,shell_middle_tangential,43,late_post,0.05037365936017159,0.01297462720518499,0.07433705264795457,0.0373990321549866,-0.023963393287782978,0.65,False
2,shell_edge_tangential,43,early_pre,-0.0244058767959104,0.020995928273781533,0.04497398827695935,-0.045401805069691936,-0.02056811148104895,0.75,False
2,shell_edge_tangential,43,near_pre,-0.13178073497553267,-0.011613199483027623,0.06608176667601158,-0.12016753549250504,0.06569896829952108,0.15,False
2,shell_edge_tangential,43,near_post,0.08716886985627699,-0.023971950480312466,0.04109493194464913,0.11114082033658945,0.04607393791162786,0.3,False
2,shell_edge_tangential,43,late_post,0.0887277035345293,0.00963568190316869,0.0576163071898051,0.07909202163136062,0.0311113963447242,0.225,False
2,shell_radius_corr_tangential,43,early_pre,-0.11073709428688445,0.025752075346068444,0.0767325029299844,-0.1364891696329529,0.03400459135690005,0.325,False
2,shell_radius_corr_tangential,43,near_pre,-0.19554250982030663,0.005817714701062054,0.051319741130780014,-0.20136022452136867,0.1442227686895266,0.0,True
2,shell_radius_corr_tangential,43,near_post,0.1529911027323676,-0.0014990961147300884,0.06970097049287885,0.1544901988470977,0.08329013223948875,0.1,False
2,shell_radius_corr_tangential,43,late_post,0.08427450575623864,0.015855695740553073,0.041034785851156934,0.06841881001568556,0.04323971990508171,0.175,False
2,density_dense_tangential,43,early_pre,0.07850791293011927,0.0027983943447253776,0.037697663295537726,0.07570951858539389,0.04081024963458155,0.275,False
2,density_dense_tangential,43,near_pre,0.02227732630503051,-0.03607545739220873,0.07238246265824365,0.058352783697239244,-0.050105136353213134,0.9,False
2,density_dense_tangential,43,near_post,-0.07273834753064884,0.02158708425692385,0.06709018127058342,-0.09432543178757269,0.005648166260065424,0.475,False
2,density_dense_tangential,43,late_post,-0.07427528991903276,-0.012969611004935877,0.04729487277477011,-0.061305678914096884,0.02698041714426265,0.2,False
2,density_sparse_minus_dense,43,early_pre,-0.06226407448576032,0.028535342491007518,0.06549851429522473,-0.09079941697676784,-0.003234439809464404,0.525,False
2,density_sparse_minus_dense,43,near_pre,-0.1893809311366185,-0.02502583998007169,0.06392784534630687,-0.1643550911565468,0.1254530857903116,0.075,True
2,density_sparse_minus_dense,43,near_post,0.10364013347098797,-0.003252555947097169,0.05450096044276599,0.10689268941808514,0.049139173028221975,0.225,False
2,density_sparse_minus_dense,43,late_post,0.13729901429410107,0.012673750153542968,0.04451765096778728,0.1246252641405581,0.09278136332631379,0.025,False
