ob,variable,relative_time_sec,real_median_aligned_z,real_q25_aligned_z,real_q75_aligned_z,null_median_aligned_z,null_q25_aligned_z,null_q75_aligned_z,real_minus_null_aligned_z,n_events
2,shell_edge_minus_core,-0.5,-0.0310088284186099,-0.7535213448105933,0.8602617258139897,0.06731357711213357,-0.07137738560618959,0.14460937831542506,-0.09832240553074346,43
2,shell_edge_minus_core,-0.45,-0.10339896714327733,-0.9300168669426989,0.7742486971820148,0.04151335628211181,-0.02597676098507536,0.15512454379061788,-0.14491232342538912,43
2,shell_edge_minus_core,-0.4,0.12825814787484036,-0.711546156533885,0.5983518548001343,0.03644144294207482,-0.07602504609291647,0.12875037603531053,0.09181670493276553,43
2,shell_edge_minus_core,-0.35,-0.14250698795952577,-0.5025125765994263,0.28706752254915213,0.020425111815370767,-0.11503004825065244,0.08827291102260917,-0.16293209977489653,43
2,shell_edge_minus_core,-0.3,-0.038253285124065894,-0.7464768132156057,0.4118508439849158,0.08976566672800912,-0.09578564154467428,0.18375272151583152,-0.128018951852075,43
2,shell_edge_minus_core,-0.25,-0.2495332809885028,-0.9322571502644655,0.34458868199655,0.015307493560475727,-0.1439618824894844,0.09154082672243039,-0.26484077454897853,43
2,shell_edge_minus_core,-0.2,-0.035827339937787084,-0.6546245904592682,0.4116454348855423,0.07991466274416106,-0.06404131431861579,0.17607584597559656,-0.11574200268194815,43
2,shell_edge_minus_core,-0.15,0.0699898589748039,-0.4990024331851961,0.4803582107252078,-0.02078763854757379,-0.13763133308018308,0.06645886666792056,0.0907774975223777,43
2,shell_edge_minus_core,-0.1,0.14729659740908865,-0.41543674725384117,0.7284618989454379,0.0006196530792459036,-0.10189970140983706,0.1489578900744738,0.14667694432984274,43
2,shell_edge_minus_core,-0.05,-0.054566056908538774,-1.0079374011220228,0.47934009633002583,-0.05224106127791189,-0.14872997089160267,0.08201732898705989,-0.0023249956306268804,43
2,shell_edge_minus_core,-0.0,-0.1634664273824508,-0.830490979865981,0.5737450432066691,0.0033150807461803655,-0.1309335174076873,0.0976224167487667,-0.16678150812863116,43
2,shell_edge_minus_core,0.05,-0.024993669306134447,-0.4115211448732271,0.6717035106770182,-0.01826727976834741,-0.14468926871996737,0.06271920302011735,-0.006726389537787036,43
2,shell_edge_minus_core,0.1,0.2098101266236895,-0.594713925171261,0.6118726927444544,0.06823778926221574,-0.08747843393747926,0.19067975681762472,0.14157233736147376,43
2,shell_edge_minus_core,0.15,0.37554343652036803,-0.3167293883859276,0.7843299393975536,-0.00513702219587462,-0.0957976766536997,0.14118095712715684,0.3806804587162427,43
2,shell_edge_minus_core,0.2,0.2557674880101102,-0.20612125589417263,0.8791844874547003,-0.01913699386109463,-0.1433452838828538,0.060912519261019385,0.2749044818712048,43
2,shell_edge_minus_core,0.25,0.2169000090836317,-0.6210583790435569,0.6174244357361389,-0.023931807987679854,-0.09931913055669812,0.07017462139157123,0.24083181707131154,43
2,shell_edge_minus_core,0.3,0.4683984469780508,-0.5019401720968195,1.126035816100275,-0.03111886404024472,-0.11086001466488356,0.04892704390910517,0.4995173110182955,43
2,shell_edge_minus_core,0.35,-0.2855222646153334,-0.800620986552266,0.4587766618678252,-0.030309932880771384,-0.16654010496199165,0.0801987925117698,-0.25521233173456204,43
2,shell_edge_minus_core,0.4,-0.0976211784420874,-0.8551023268900098,0.40394237053723425,-0.03642929312747685,-0.13514679802116994,0.09426480843392748,-0.06119188531461055,43
2,shell_edge_minus_core,0.45,0.3073723944767724,-0.2110176968469266,0.8982559897875435,0.03770999820874951,-0.07495551694352634,0.11611594824688204,0.2696623962680229,43
2,shell_edge_minus_core,0.5,-0.1465359184983075,-0.8758847311476825,0.5404059505954034,0.02315233759918362,-0.08086305222200374,0.10789802075593649,-0.1696882560974911,43
2,all_tangential,-0.5,-0.16217460927173682,-0.9872133852469688,0.6917116913345793,-0.006359883393843024,-0.10642662747610941,0.125830133280534,-0.1558147258778938,43
2,all_tangential,-0.45,0.1416039855445912,-0.6189199643980188,0.6823405588702096,0.04386540320873081,-0.12181410245206638,0.10893920245256367,0.09773858233586039,43
2,all_tangential,-0.4,-0.1927859972278798,-0.8794411065295057,0.5945250205666224,-0.01597296088415734,-0.11281703860414578,0.06350668708937136,-0.17681303634372247,43
2,all_tangential,-0.35,0.029861707366602375,-0.6164213081268866,0.6454311729627609,0.045276580298691554,-0.07684198275889605,0.17100422999165676,-0.01541487293208918,43
2,all_tangential,-0.3,0.100111340303096,-0.5238077654033199,0.6991694149455923,0.00807512140543995,-0.06222641667957133,0.1319158779384186,0.09203621889765605,43
2,all_tangential,-0.25,0.1727437543596686,-0.5038692330353118,0.8174595374898341,0.026512393657780478,-0.12064761854402282,0.11101367659422501,0.14623136070188814,43
2,all_tangential,-0.2,-0.258236642716553,-0.8182571678283767,0.5352322607011116,0.008375080875192457,-0.08508719931420135,0.12191394662723554,-0.26661172359174545,43
2,all_tangential,-0.15,-0.4183947828723739,-0.7898518238628327,0.39770264946567274,-0.009796493549422325,-0.1309823619628374,0.14308119019158663,-0.4085982893229516,43
2,all_tangential,-0.1,-0.5101119781865484,-0.8702019860000196,0.21526754373670196,-0.002827030167380562,-0.1742648182695002,0.08305630026851037,-0.5072849480191679,43
2,all_tangential,-0.05,-0.1342677966412132,-0.8351682466868473,0.5434232612818025,0.008676573861820122,-0.08806115443716267,0.1468795180486954,-0.14294437050303332,43
2,all_tangential,-0.0,0.0766363553420671,-0.6586860534014531,0.49211841051835437,-0.011360416360047199,-0.1823596383269122,0.09580742074409951,0.0879967717021143,43
2,all_tangential,0.05,-0.011394589648482584,-0.7360952566698555,0.6552084343520648,-0.009486782701384602,-0.10284312110108913,0.0662630742897385,-0.0019078069470979814,43
2,all_tangential,0.1,0.004838271207711131,-0.5238142483381919,0.4632696947918827,-0.029056870590195336,-0.18023133654638215,0.12304788639315253,0.03389514179790647,43
2,all_tangential,0.15,-0.012203706359331101,-0.5690719048109104,0.7242587318665641,-0.017809393572002147,-0.09114625299430414,0.1449471389006654,0.0056056872126710455,43
