ob,variable,phase,event_type,n_events,real_phase_median_z,null_phase_median_z,event_minus_null_z,p_null_abs_excess_ge_real_abs_excess,event_type_gate
17,all_tangential,near_pre,low_to_high,61,-0.09829491451960924,-0.02267422039202794,-0.0756206941275813,0.55,False
17,all_tangential,near_pre,high_to_low,61,0.1251911808599018,-0.017743222027351416,0.14293440288725323,0.275,False
17,all_tangential,near_post,low_to_high,61,0.3287953867453476,-0.012971226591930153,0.34176661333727776,0.0,True
17,all_tangential,near_post,high_to_low,61,-0.0931160355730199,-0.03671426504466386,-0.056401770528356036,0.65,False
17,shell_edge_minus_core,near_pre,low_to_high,61,-0.1043035393471019,0.04801595459152759,-0.15231949393862948,0.175,True
17,shell_edge_minus_core,near_pre,high_to_low,61,0.1423348210671192,0.04633503799013336,0.09599978307698584,0.275,False
17,shell_edge_minus_core,near_post,low_to_high,61,-0.3112940532964654,0.03199415297030247,-0.34328820626676787,0.0,True
17,shell_edge_minus_core,near_post,high_to_low,61,-0.08270365853726874,-0.01633957815044445,-0.06636408038682429,0.6,False
17,shell_core_tangential,near_pre,low_to_high,61,-0.1270317712644109,-0.05198641876892013,-0.07504535249549077,0.5,False
17,shell_core_tangential,near_pre,high_to_low,61,0.06927259186812286,0.031938281046284614,0.037334310821838246,0.775,False
17,shell_core_tangential,near_post,low_to_high,61,0.3940243140212273,0.0236808118318219,0.37034350218940537,0.0,True
17,shell_core_tangential,near_post,high_to_low,61,-0.041989616276818104,0.044998323742698465,-0.08698794001951657,0.6,False
17,shell_middle_tangential,near_pre,low_to_high,61,0.013400198037113856,-0.053989998616123996,0.06739019665323785,0.7,False
17,shell_middle_tangential,near_pre,high_to_low,61,0.0415224993706887,-0.025851533297571345,0.06737403266826004,0.65,False
17,shell_middle_tangential,near_post,low_to_high,61,0.24180762170851347,-0.007818906568434234,0.2496265282769477,0.05,True
17,shell_middle_tangential,near_post,high_to_low,61,-0.11086323197101569,-0.006415783098767162,-0.10444744887224852,0.4,False
17,shell_edge_tangential,near_pre,low_to_high,61,-0.13043673937999203,0.018168497414823556,-0.14860523679481558,0.225,True
17,shell_edge_tangential,near_pre,high_to_low,61,0.29763829276526516,0.020608073147048222,0.27703021961821694,0.025,True
17,shell_edge_tangential,near_post,low_to_high,61,0.0760762388546544,0.03895313783277338,0.037123101021881016,0.8,False
17,shell_edge_tangential,near_post,high_to_low,61,-0.11324458187319361,-0.03130878210600522,-0.0819357997671884,0.475,False
